,Name,Score,Studios,Source,Ranked,Popularity,Completed
0,Cowboy Bebop,8.78,Sunrise,Original,28,39,718161
1,Cowboy Bebop: Tengoku no Tobira,8.39,Bones,Original,159,518,208333
2,Trigun,8.24,Madhouse,Manga,266,201,343492
3,Witch Hunter Robin,7.27,Sunrise,Original,2481,1467,46165
4,Bouken Ou Beet,6.98,Toei Animation,Manga,3710,4369,7314
5,Eyeshield 21,7.95,Gallop,Manga,604,1003,78349
6,Hachimitsu to Clover,8.06,J.C.Staff,Manga,468,687,81145
7,Hungry Heart: Wild Striker,7.59,Nippon Animation,Manga,1317,3612,13778
8,Initial D Fourth Stage,8.15,A.C.G.T.,Manga,360,1233,90967
9,Monster,8.76,Madhouse,Manga,30,169,214491
10,Naruto,7.91,Studio Pierrot,Manga,660,8,1462223
11,One Piece,8.52,Toei Animation,Manga,95,31,33
12,Tennis no Ouji-sama,7.9,Trans Arts,Manga,675,1039,76881
13,Ring ni Kakero 1,6.38,Toei Animation,Manga,6493,7333,1333
14,School Rumble,7.94,Studio Comet,Manga,625,514,157789
15,Sunabouzu,7.42,Gonzo,Manga,1844,1284,53819
16,Texhnolyze,7.76,Madhouse,Original,896,823,47532
17,Trinity Blood,7.32,Gonzo,Light novel,2240,936,87958
18,Yakitate!! Japan,7.95,Sunrise,Manga,609,1666,39992
19,Zipang,7.51,Studio Deen,Manga,1565,3985,6807
20,Neon Genesis Evangelion,8.32,"Gainax, Tatsunoko Production",Original,208,54,815938
21,Neon Genesis Evangelion: Death & Rebirth,7.45,"Gainax, Production I.G",Original,1742,833,146202
22,Neon Genesis Evangelion: The End of Evangelion,8.51,"Gainax, Production I.G",Original,102,195,482918
23,Kenpuu Denki Berserk,8.49,OLM,Manga,108,301,276588
24,Koukaku Kidoutai,8.29,Production I.G,Manga,236,265,325682
25,Rurouni Kenshin: Meiji Kenkaku Romantan - Tsuioku-hen,8.73,Studio Deen,Manga,37,637,150183
26,Rurouni Kenshin: Meiji Kenkaku Romantan,8.31,"Gallop, Studio Deen",Manga,220,345,216154
27,Rurouni Kenshin: Meiji Kenkaku Romantan - Ishinshishi e no Chinkonka,7.56,Gallop,Manga,1397,2411,34481
28,Akira,8.17,Tokyo Movie Shinsha,Manga,333,197,434086
29,.hack//Sign,6.98,Bee Train,Original,3687,940,91528
30,Aa! Megami-sama!,7.32,AIC,Manga,2226,2360,34581
31,Aa! Megami-sama! (TV),7.35,AIC,Manga,2116,1083,85884
32,Tenshi Kinryouku,6.31,Hal Film Maker,Manga,6823,2419,32981
33,Kidou Tenshi Angelic Layer,7.26,Bones,Manga,2529,2232,32978
34,Ai Yori Aoshi,7.14,J.C.Staff,Manga,3012,1465,60075
35,Appleseed (Movie),7.1,Digital Frontier,Manga,3206,1901,52100
36,Arc the Lad,6.53,Bee Train,Game,5738,4259,7032
37,Avenger,5.91,"Bee Train, Xebec",Original,8501,4073,7906
38,Beck,8.31,Madhouse,Manga,221,570,133432
39,Blue Gender,7.05,AIC,Original,3455,1886,31583
40,Chobits,7.43,Madhouse,Manga,1804,332,272425
41,Chrno Crusade,7.66,Gonzo,Manga,1120,742,117484
42,D.N.Angel,7.2,Xebec,Manga,2761,891,117045
43,D.C.: Da Capo,6.77,"feel., Zexcs",Visual novel,4589,1852,36037
44,DearS,6.62,Daume,Manga,5274,1146,95113
45,Rozen Maiden,7.44,Nomad,Manga,1782,846,113914
46,Rozen Maiden: Träumend,7.65,Nomad,Manga,1146,1479,73523
47,Azumanga Daioh,7.98,J.C.Staff,4-koma manga,555,554,143431
48,Basilisk: Kouga Ninpou Chou,7.58,Gonzo,Manga,1325,940,82153
49,Black Cat (TV),7.38,Gonzo,Manga,1965,622,142921
50,Cluster Edge,6.35,Sunrise,Original,6646,5061,3068
51,Full Metal Panic!,7.65,Gonzo,Light novel,1146,322,264665
52,Full Metal Panic? Fumoffu,8.07,Kyoto Animation,Light novel,452,571,204041
53,Full Metal Panic! The Second Raid,7.96,Kyoto Animation,Light novel,579,639,177524
54,Gakuen Alice,7.65,Group TAC,Manga,1158,1640,57369
55,Soukyuu no Fafner: Dead Aggressor,7.3,Xebec,Original,2348,2523,16417
56,Mahou Shoujo Lyrical Nanoha,7.42,Seven Arcs,Original,1828,1550,47731
57,Mahou Shoujo Lyrical Nanoha A's,7.99,Seven Arcs,Original,551,2075,40165
58,Shuffle!,7.09,Asread,Visual novel,3231,600,151944
59,Mobile Suit Gundam,7.78,Sunrise,Original,867,1427,52669
60,Mobile Suit Gundam: The 08th MS Team,8.03,Sunrise,Original,511,1948,43537
61,Mobile Suit Gundam 0080: War in the Pocket,7.9,Sunrise,Original,677,2444,30112
62,Mobile Suit Gundam: The 08th MS Team - Miller's Report,6.79,Sunrise,Original,4498,4660,8314
63,Mobile Suit Gundam 0083: Stardust Memory,7.3,Sunrise,Original,2361,2791,24492
64,Mobile Suit Zeta Gundam,7.92,Sunrise,Original,655,2159,32798
65,Mobile Suit Gundam ZZ,6.66,Sunrise,Original,5111,2941,18408
66,Mobile Suit Gundam: Char's Counterattack,7.68,"Sunrise, Studio Hibari",Novel,1084,2773,25957
68,Mobile Suit Victory Gundam,6.76,"Sunrise, Studio Deen",Original,4632,3588,10068
69,Mobile Suit Gundam Wing,7.72,Sunrise,Original,984,1118,95155
70,Mobile Suit Gundam Wing: Endless Waltz,7.76,Sunrise,Original,897,2512,34369
71,After War Gundam X,7.32,Sunrise,Original,2228,3043,15987
72,Mobile Suit Gundam SEED,7.79,Sunrise,Original,850,1057,101920
73,Mobile Suit Gundam SEED Destiny,7.22,Sunrise,Original,2687,1530,70845
74,Turn A Gundam,7.7,"Sunrise, Nakamura Production",Original,1018,2714,14651
75,Mobile Fighter G Gundam,7.56,Sunrise,Original,1396,2109,38653
76,Last Exile,7.82,Gonzo,Original,795,995,77235
77,Mai-HiME,7.46,Sunrise,Original,1698,1381,60321
78,Mai-Otome,7.31,Sunrise,Original,2308,2370,31335
79,Shin Shirayuki-hime Densetsu Prétear,7.2,Hal Film Maker,Manga,2785,2162,33827
80,Air,7.32,Kyoto Animation,Visual novel,2230,563,170036
81,Aishiteruze Baby★★,7.48,TMS Entertainment,Manga,1634,1529,59770
82,Akazukin Chacha,7.39,Gallop,Manga,1941,4551,5140
83,Ayashi no Ceres,7.23,Studio Pierrot,Manga,2641,2182,31162
84,Boys Be...,6.46,Hal Film Maker,Manga,6088,3665,10371
85,Hana yori Dango,7.7,Toei Animation,Manga,1027,2293,25257
86,Ou Dorobou Jing,7.23,Studio Deen,Manga,2625,2817,16532
87,Ou Dorobou Jing in Seventh Heaven,7.29,Studio Deen,Manga,2367,4619,7309
88,Bakuretsu Tenshi,6.81,Gonzo,Original,4381,1965,34321
89,Chuuka Ichiban!,7.63,Nippon Animation,Manga,1195,4086,8203
